Customer,Job Site,Make,Model,Serial Number,Unit Number,Inspection Date,Entered Date,SMU,Form,Question Group,Question,Reading,Eval
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0293,LD070,23/04/2025,23/04/2025,21773,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Compartment Temperature,Record the Engine Oil temp 70-75c,77.5,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0293,LD070,23/04/2025,23/04/2025,21773,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The CO ppm",1,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0293,LD070,23/04/2025,23/04/2025,21773,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NO ppm",0,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0293,LD070,23/04/2025,23/04/2025,21773,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NO2 ppm",0.4,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0293,LD070,23/04/2025,23/04/2025,21773,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NOX ppm",0.4,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0293,LD070,23/04/2025,23/04/2025,21773,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The CO ppm",2,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0293,LD070,23/04/2025,23/04/2025,21773,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NO ppm",0,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0293,LD070,23/04/2025,23/04/2025,21773,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NO2 ppm",0.4,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0293,LD070,23/04/2025,23/04/2025,21773,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NOX ppm",0.4,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0293,LD070,23/04/2025,23/04/2025,21773,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The CO ppm",1,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0293,LD070,23/04/2025,23/04/2025,21773,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The NO ppm",0,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0293,LD070,23/04/2025,23/04/2025,21773,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The NO2 ppm",0.5,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0293,LD070,23/04/2025,23/04/2025,21773,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The NOX ppm",0.5,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0293,LD070,23/04/2025,23/04/2025,21773,HV Diesel Particulate Emission Testing,Emmissions Particulate Test Record,Record the Engine Oil temp 70-75c,80,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0293,LD070,23/04/2025,23/04/2025,21773,HV Diesel Particulate Emission Testing,Emmissions Particulate Test Record,"HV Diesel particulate, mg/m3 EC",130,A
